PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,NumFam,C,Q,S,Age_nul
32,1,1,1,29.69911764705882,1,0,30,146.5208,9,1,1,0,0,1
33,1,3,1,29.69911764705882,0,0,31,7.75,0,0,0,1,0,1
34,0,2,0,66.0,0,0,32,10.5,0,0,0,0,1,0
35,0,1,0,28.0,1,0,33,82.1708,0,1,1,0,0,0
36,0,1,0,42.0,1,0,34,52.0,0,1,0,0,1,0
37,1,3,0,29.69911764705882,0,0,35,7.2292,0,0,1,0,0,1
38,0,3,0,21.0,0,0,36,8.05,0,0,0,0,1,0
39,0,3,1,18.0,2,0,37,18.0,0,2,0,0,1,0
40,1,3,1,14.0,1,0,38,11.2417,0,1,1,0,0,0
41,0,3,1,40.0,1,0,39,9.475,0,1,0,0,1,0
42,0,2,1,27.0,1,0,40,21.0,0,1,0,0,1,0
43,0,3,0,29.69911764705882,0,0,41,7.8958,0,0,1,0,0,1
44,1,2,1,3.0,1,2,42,41.5792,0,3,1,0,0,0
45,1,3,1,19.0,0,0,43,7.8792,0,0,0,1,0,0
46,0,3,0,29.69911764705882,0,0,44,8.05,0,0,0,0,1,1
47,0,3,0,29.69911764705882,1,0,45,15.5,0,1,0,1,0,1
48,1,3,1,29.69911764705882,0,0,46,7.75,0,0,0,1,0,1
49,0,3,0,29.69911764705882,2,0,47,21.6792,0,2,1,0,0,1
50,0,3,1,18.0,1,0,48,17.8,0,1,0,0,1,0
51,0,3,0,7.0,4,1,49,39.6875,0,5,0,0,1,0
52,0,3,0,21.0,0,0,50,7.8,0,0,0,0,1,0
53,1,1,1,49.0,1,0,51,76.7292,10,1,1,0,0,0
54,1,2,1,29.0,1,0,52,26.0,0,1,0,0,1,0
55,0,1,0,65.0,0,1,53,61.9792,11,1,1,0,0,0
56,1,1,0,29.69911764705882,0,0,54,35.5,12,0,0,0,1,1
57,1,2,1,21.0,0,0,55,10.5,0,0,0,0,1,0
58,0,3,0,28.5,0,0,56,7.2292,0,0,1,0,0,0
59,1,2,1,5.0,1,2,57,27.75,0,3,0,0,1,0
60,0,3,0,11.0,5,2,58,46.9,0,7,0,0,1,0
61,0,3,0,22.0,0,0,59,7.2292,0,0,1,0,0,0
62,1,1,1,38.0,0,0,60,80.0,13,0,0,0,1,0
63,0,1,0,45.0,1,0,61,83.475,14,1,0,0,1,0
64,0,3,0,4.0,3,2,62,27.9,0,5,0,0,1,0
65,0,1,0,29.69911764705882,0,0,63,27.7208,0,0,1,0,0,1
66,1,3,0,29.69911764705882,1,1,64,15.2458,0,2,1,0,0,1
67,1,2,1,29.0,0,0,65,10.5,15,0,0,0,1,0
68,0,3,0,19.0,0,0,66,8.1583,0,0,0,0,1,0
69,1,3,1,17.0,4,2,67,7.925,0,6,0,0,1,0
70,0,3,0,26.0,2,0,68,8.6625,0,2,0,0,1,0
71,0,2,0,32.0,0,0,69,10.5,0,0,0,0,1,0
72,0,3,1,16.0,5,2,58,46.9,0,7,0,0,1,0
73,0,2,0,21.0,0,0,70,73.5,0,0,0,0,1,0
74,0,3,0,26.0,1,0,71,14.4542,0,1,1,0,0,0
75,1,3,0,32.0,0,0,72,56.4958,0,0,0,0,1,0
76,0,3,0,25.0,0,0,73,7.65,16,0,0,0,1,0
77,0,3,0,29.69911764705882,0,0,74,7.8958,0,0,0,0,1,1
78,0,3,0,29.69911764705882,0,0,75,8.05,0,0,0,0,1,1
79,1,2,0,0.83,0,2,76,29.0,0,2,0,0,1,0
80,1,3,1,30.0,0,0,77,12.475,0,0,0,0,1,0
81,0,3,0,22.0,0,0,78,9.0,0,0,0,0,1,0
82,1,3,0,29.0,0,0,79,9.5,0,0,0,0,1,0
83,1,3,1,29.69911764705882,0,0,80,7.7875,0,0,0,1,0,1
84,0,1,0,28.0,0,0,81,47.1,0,0,0,0,1,0
85,1,2,1,17.0,0,0,82,10.5,0,0,0,0,1,0
86,1,3,1,33.0,3,0,83,15.85,0,3,0,0,1,0
87,0,3,0,16.0,1,3,84,34.375,0,4,0,0,1,0
88,0,3,0,29.69911764705882,0,0,85,8.05,0,0,0,0,1,1
89,1,1,1,23.0,3,2,26,263.0,8,5,0,0,1,0
90,0,3,0,24.0,0,0,86,8.05,0,0,0,0,1,0
91,0,3,0,29.0,0,0,87,8.05,0,0,0,0,1,0
92,0,3,0,20.0,0,0,88,7.8542,0,0,0,0,1,0
93,0,1,0,46.0,1,0,89,61.175,17,1,0,0,1,0
94,0,3,0,26.0,1,2,90,20.575,0,3,0,0,1,0
95,0,3,0,59.0,0,0,91,7.25,0,0,0,0,1,0
96,0,3,0,29.69911764705882,0,0,92,8.05,0,0,0,0,1,1
97,0,1,0,71.0,0,0,93,34.6542,18,0,1,0,0,0
98,1,1,0,23.0,0,1,94,63.3583,19,1,1,0,0,0
99,1,2,1,34.0,0,1,95,23.0,0,1,0,0,1,0
100,0,2,0,34.0,1,0,96,26.0,0,1,0,0,1,0
101,0,3,1,28.0,0,0,97,7.8958,0,0,0,0,1,0
102,0,3,0,29.69911764705882,0,0,98,7.8958,0,0,0,0,1,1
103,0,1,0,21.0,0,1,99,77.2875,20,1,0,0,1,0
104,0,3,0,33.0,0,0,100,8.6542,0,0,0,0,1,0
105,0,3,0,37.0,2,0,101,7.925,0,2,0,0,1,0
106,0,3,0,28.0,0,0,102,7.8958,0,0,0,0,1,0
107,1,3,1,21.0,0,0,103,7.65,0,0,0,0,1,0
108,1,3,0,29.69911764705882,0,0,104,7.775,0,0,0,0,1,1
109,0,3,0,38.0,0,0,105,7.8958,0,0,0,0,1,0
110,1,3,1,29.69911764705882,1,0,106,24.15,0,1,0,1,0,1
111,0,1,0,47.0,0,0,107,52.0,21,0,0,0,1,0
112,0,3,1,14.5,1,0,108,14.4542,0,1,1,0,0,0
113,0,3,0,22.0,0,0,109,8.05,0,0,0,0,1,0
114,0,3,1,20.0,1,0,110,9.825,0,1,0,0,1,0
115,0,3,1,17.0,0,0,111,14.4583,0,0,1,0,0,0
116,0,3,0,21.0,0,0,112,7.925,0,0,0,0,1,0
117,0,3,0,70.5,0,0,113,7.75,0,0,0,1,0,0
118,0,2,0,29.0,1,0,40,21.0,0,1,0,0,1,0
119,0,1,0,24.0,0,1,114,247.5208,22,1,1,0,0,0
120,0,3,1,2.0,4,2,13,31.275,0,6,0,0,1,0
121,0,2,0,21.0,2,0,70,73.5,0,2,0,0,1,0
122,0,3,0,29.69911764705882,0,0,115,8.05,0,0,0,0,1,1
123,0,2,0,32.5,1,0,9,30.0708,0,1,1,0,0,0
124,1,2,1,32.5,0,0,116,13.0,23,0,0,0,1,0
125,0,1,0,54.0,0,1,99,77.2875,20,1,0,0,1,0
126,1,3,0,12.0,1,0,38,11.2417,0,1,1,0,0,0
127,0,3,0,29.69911764705882,0,0,117,7.75,0,0,0,1,0,1
128,1,3,0,24.0,0,0,118,7.1417,0,0,0,0,1,0
129,1,3,1,29.69911764705882,1,1,119,22.3583,24,2,1,0,0,1
130,0,3,0,45.0,0,0,120,6.975,0,0,0,0,1,0
131,0,3,0,33.0,0,0,121,7.8958,0,0,1,0,0,0
132,0,3,0,20.0,0,0,122,7.05,0,0,0,0,1,0
133,0,3,1,47.0,1,0,123,14.5,0,1,0,0,1,0
134,1,2,1,29.0,1,0,124,26.0,0,1,0,0,1,0
135,0,2,0,25.0,0,0,125,13.0,0,0,0,0,1,0
136,0,2,0,23.0,0,0,126,15.0458,0,0,1,0,0,0
137,1,1,1,19.0,0,2,127,26.2833,25,2,0,0,1,0
138,0,1,0,37.0,1,0,3,53.1,2,1,0,0,1,0
139,0,3,0,16.0,0,0,128,9.2167,0,0,0,0,1,0
140,0,1,0,24.0,0,0,129,79.2,26,0,1,0,0,0
141,0,3,1,29.69911764705882,0,2,130,15.2458,0,2,1,0,0,1
142,1,3,1,22.0,0,0,131,7.75,0,0,0,0,1,0
143,1,3,1,24.0,1,0,132,15.85,0,1,0,0,1,0
144,0,3,0,19.0,0,0,133,6.75,0,0,0,1,0,0
145,0,2,0,18.0,0,0,134,11.5,0,0,0,0,1,0
146,0,2,0,19.0,1,1,135,36.75,0,2,0,0,1,0
147,1,3,0,27.0,0,0,136,7.7958,0,0,0,0,1,0
148,0,3,1,9.0,2,2,84,34.375,0,4,0,0,1,0
149,0,2,0,36.5,0,2,137,26.0,27,2,0,0,1,0
150,0,2,0,42.0,0,0,138,13.0,0,0,0,0,1,0
151,0,2,0,51.0,0,0,139,12.525,0,0,0,0,1,0
152,1,1,1,22.0,1,0,140,66.6,28,1,0,0,1,0
153,0,3,0,55.5,0,0,141,8.05,0,0,0,0,1,0
154,0,3,0,40.5,0,2,142,14.5,0,2,0,0,1,0
155,0,3,0,29.69911764705882,0,0,143,7.3125,0,0,0,0,1,1
156,0,1,0,51.0,0,1,144,61.3792,0,1,1,0,0,0
157,1,3,1,16.0,0,0,145,7.7333,0,0,0,1,0,0
158,0,3,0,30.0,0,0,146,8.05,0,0,0,0,1,0
159,0,3,0,29.69911764705882,0,0,147,8.6625,0,0,0,0,1,1
160,0,3,0,29.69911764705882,8,2,148,69.55,0,10,0,0,1,1
161,0,3,0,44.0,0,1,149,16.1,0,1,0,0,1,0
162,1,2,1,40.0,0,0,150,15.75,0,0,0,0,1,0
163,0,3,0,26.0,0,0,151,7.775,0,0,0,0,1,0
164,0,3,0,17.0,0,0,152,8.6625,0,0,0,0,1,0
165,0,3,0,1.0,4,1,49,39.6875,0,5,0,0,1,0
166,1,3,0,9.0,0,2,153,20.525,0,2,0,0,1,0
167,1,1,1,29.69911764705882,0,1,154,55.0,29,1,0,0,1,1
168,0,3,1,45.0,1,4,62,27.9,0,5,0,0,1,0
169,0,1,0,29.69911764705882,0,0,155,25.925,0,0,0,0,1,1
170,0,3,0,28.0,0,0,72,56.4958,0,0,0,0,1,0
171,0,1,0,61.0,0,0,156,33.5,30,0,0,0,1,0
172,0,3,0,4.0,4,1,16,29.125,0,5,0,1,0,0
173,1,3,1,1.0,1,1,8,11.1333,0,2,0,0,1,0
174,0,3,0,21.0,0,0,157,7.925,0,0,0,0,1,0
175,0,1,0,56.0,0,0,158,30.6958,31,0,1,0,0,0
176,0,3,0,18.0,1,1,159,7.8542,0,2,0,0,1,0
177,0,3,0,29.69911764705882,3,1,160,25.4667,0,4,0,0,1,1
178,0,1,1,50.0,0,0,161,28.7125,32,0,1,0,0,0
179,0,2,0,30.0,0,0,162,13.0,0,0,0,0,1,0
180,0,3,0,36.0,0,0,163,0.0,0,0,0,0,1,0
181,0,3,1,29.69911764705882,8,2,148,69.55,0,10,0,0,1,1
182,0,2,0,29.69911764705882,0,0,164,15.05,0,0,1,0,0,1
183,0,3,0,9.0,4,2,24,31.3875,0,6,0,0,1,0
184,1,2,0,1.0,2,1,165,39.0,33,3,0,0,1,0
185,1,3,1,4.0,0,2,166,22.025,0,2,0,0,1,0
186,0,1,0,29.69911764705882,0,0,167,50.0,34,0,0,0,1,1
187,1,3,1,29.69911764705882,1,0,168,15.5,0,1,0,1,0,1
188,1,1,0,45.0,0,0,169,26.55,0,0,0,0,1,0
189,0,3,0,40.0,1,1,170,15.5,0,2,0,1,0,0
190,0,3,0,36.0,0,0,171,7.8958,0,0,0,0,1,0
191,1,2,1,32.0,0,0,172,13.0,0,0,0,0,1,0
192,0,2,0,19.0,0,0,173,13.0,0,0,0,0,1,0
193,1,3,1,19.0,1,0,174,7.8542,0,1,0,0,1,0
194,1,2,0,3.0,1,1,137,26.0,27,2,0,0,1,0
195,1,1,1,44.0,0,0,175,27.7208,35,0,1,0,0,0
196,1,1,1,58.0,0,0,30,146.5208,36,0,1,0,0,0
197,0,3,0,29.69911764705882,0,0,176,7.75,0,0,0,1,0,1
198,0,3,0,42.0,0,1,177,8.4042,0,1,0,0,1,0
199,1,3,1,29.69911764705882,0,0,178,7.75,0,0,0,1,0,1
200,0,2,1,24.0,0,0,179,13.0,0,0,0,0,1,0
201,0,3,0,28.0,0,0,180,9.5,0,0,0,0,1,0
202,0,3,0,29.69911764705882,8,2,148,69.55,0,10,0,0,1,1
203,0,3,0,34.0,0,0,181,6.4958,0,0,0,0,1,0
204,0,3,0,45.5,0,0,182,7.225,0,0,1,0,0,0
205,1,3,0,18.0,0,0,183,8.05,0,0,0,0,1,0
206,0,3,1,2.0,0,1,184,10.4625,4,1,0,0,1,0
207,0,3,0,32.0,1,0,83,15.85,0,1,0,0,1,0
208,1,3,0,26.0,0,0,185,18.7875,0,0,1,0,0,0
209,1,3,1,16.0,0,0,186,7.75,0,0,0,1,0,0
210,1,1,0,40.0,0,0,187,31.0,37,0,1,0,0,0
211,0,3,0,24.0,0,0,188,7.05,0,0,0,0,1,0
212,1,2,1,35.0,0,0,189,21.0,0,0,0,0,1,0
213,0,3,0,22.0,0,0,190,7.25,0,0,0,0,1,0
214,0,2,0,30.0,0,0,191,13.0,0,0,0,0,1,0
215,0,3,0,29.69911764705882,1,0,192,7.75,0,1,0,1,0,1
216,1,1,1,31.0,1,0,193,113.275,38,1,1,0,0,0
217,1,3,1,27.0,0,0,194,7.925,0,0,0,0,1,0
218,0,2,0,42.0,1,0,195,27.0,0,1,0,0,1,0
219,1,1,1,32.0,0,0,196,76.2917,39,0,1,0,0,0
220,0,2,0,30.0,0,0,197,10.5,0,0,0,0,1,0
221,1,3,0,16.0,0,0,198,8.05,0,0,0,0,1,0
222,0,2,0,27.0,0,0,199,13.0,0,0,0,0,1,0
223,0,3,0,51.0,0,0,200,8.05,0,0,0,0,1,0
224,0,3,0,29.69911764705882,0,0,201,7.8958,0,0,0,0,1,1
225,1,1,0,38.0,1,0,202,90.0,40,1,0,0,1,0
226,0,3,0,22.0,0,0,203,9.35,0,0,0,0,1,0
227,1,2,0,19.0,0,0,204,10.5,0,0,0,0,1,0
228,0,3,0,20.5,0,0,205,7.25,0,0,0,0,1,0
229,0,2,0,18.0,0,0,206,13.0,0,0,0,0,1,0
230,0,3,1,29.69911764705882,3,1,160,25.4667,0,4,0,0,1,1
231,1,1,1,35.0,1,0,61,83.475,14,1,0,0,1,0
232,0,3,0,29.0,0,0,207,7.775,0,0,0,0,1,0
233,0,2,0,59.0,0,0,208,13.5,0,0,0,0,1,0
234,1,3,1,5.0,4,2,24,31.3875,0,6,0,0,1,0
235,0,2,0,24.0,0,0,209,10.5,0,0,0,0,1,0
236,0,3,1,29.69911764705882,0,0,210,7.55,0,0,0,0,1,1
237,0,2,0,44.0,1,0,211,26.0,0,1,0,0,1,0
238,1,2,1,8.0,0,2,212,26.25,0,2,0,0,1,0
239,0,2,0,19.0,0,0,213,10.5,0,0,0,0,1,0
240,0,2,0,33.0,0,0,214,12.275,0,0,0,0,1,0
241,0,3,1,29.69911764705882,1,0,108,14.4542,0,1,1,0,0,1
242,1,3,1,29.69911764705882,1,0,215,15.5,0,1,0,1,0,1
243,0,2,0,29.0,0,0,216,10.5,0,0,0,0,1,0
244,0,3,0,22.0,0,0,217,7.125,0,0,0,0,1,0
245,0,3,0,30.0,0,0,218,7.225,0,0,1,0,0,0
246,0,1,0,44.0,2,0,219,90.0,41,2,0,1,0,0
247,0,3,1,25.0,0,0,220,7.775,0,0,0,0,1,0
248,1,2,1,24.0,0,2,221,14.5,0,2,0,0,1,0
249,1,1,0,37.0,1,1,222,52.5542,42,2,0,0,1,0
250,0,2,0,54.0,1,0,223,26.0,0,1,0,0,1,0
251,0,3,0,29.69911764705882,0,0,224,7.25,0,0,0,0,1,1
252,0,3,1,29.0,1,1,184,10.4625,4,2,0,0,1,0
253,0,1,0,62.0,0,0,225,26.55,43,0,0,0,1,0
254,0,3,0,30.0,1,0,226,16.1,0,1,0,0,1,0
255,0,3,1,41.0,0,2,227,20.2125,0,2,0,0,1,0
256,1,3,1,29.0,0,2,228,15.2458,0,2,1,0,0,0
257,1,1,1,29.69911764705882,0,0,229,79.2,0,0,1,0,0,1
258,1,1,1,30.0,0,0,230,86.5,44,0,0,0,1,0
259,1,1,1,35.0,0,0,231,512.3292,0,0,1,0,0,0
260,1,2,1,50.0,0,1,232,26.0,0,1,0,0,1,0
261,0,3,0,29.69911764705882,0,0,233,7.75,0,0,0,1,0,1
262,1,3,0,3.0,4,2,24,31.3875,0,6,0,0,1,0
263,0,1,0,52.0,1,1,234,79.65,45,2,0,0,1,0
264,0,1,0,40.0,0,0,235,0.0,46,0,0,0,1,0
265,0,3,1,29.69911764705882,0,0,236,7.75,0,0,0,1,0,1
266,0,2,0,36.0,0,0,237,10.5,0,0,0,0,1,0
267,0,3,0,16.0,4,1,49,39.6875,0,5,0,0,1,0
268,1,3,0,25.0,1,0,238,7.775,0,1,0,0,1,0
269,1,1,1,58.0,0,1,239,153.4625,47,1,0,0,1,0
270,1,1,1,35.0,0,0,240,135.6333,48,0,0,0,1,0
271,0,1,0,29.69911764705882,0,0,241,31.0,0,0,0,0,1,1
272,1,3,0,25.0,0,0,163,0.0,0,0,0,0,1,0
273,1,2,1,41.0,0,1,242,19.5,0,1,0,0,1,0
274,0,1,0,37.0,0,1,243,29.7,49,1,1,0,0,0
275,1,3,1,29.69911764705882,0,0,244,7.75,0,0,0,1,0,1
276,1,1,1,63.0,1,0,245,77.9583,50,1,0,0,1,0
277,0,3,1,45.0,0,0,246,7.75,0,0,0,0,1,0
278,0,2,0,29.69911764705882,0,0,247,0.0,0,0,0,0,1,1
279,0,3,0,7.0,4,1,16,29.125,0,5,0,1,0,0
280,1,3,1,35.0,1,1,248,20.25,0,2,0,0,1,0
281,0,3,0,65.0,0,0,249,7.75,0,0,0,1,0,0
282,0,3,0,28.0,0,0,250,7.8542,0,0,0,0,1,0
283,0,3,0,16.0,0,0,251,9.5,0,0,0,0,1,0
284,1,3,0,19.0,0,0,252,8.05,0,0,0,0,1,0
285,0,1,0,29.69911764705882,0,0,253,26.0,51,0,0,0,1,1
286,0,3,0,33.0,0,0,254,8.6625,0,0,1,0,0,0
287,1,3,0,30.0,0,0,255,9.5,0,0,0,0,1,0
288,0,3,0,22.0,0,0,256,7.8958,0,0,0,0,1,0
289,1,2,0,42.0,0,0,257,13.0,0,0,0,0,1,0
290,1,3,1,22.0,0,0,258,7.75,0,0,0,1,0,0
291,1,1,1,26.0,0,0,259,78.85,0,0,0,0,1,0
292,1,1,1,19.0,1,0,260,91.0792,52,1,1,0,0,0
293,0,2,0,36.0,0,0,261,12.875,53,0,1,0,0,0
294,0,3,1,24.0,0,0,262,8.85,0,0,0,0,1,0
295,0,3,0,24.0,0,0,263,7.8958,0,0,0,0,1,0
296,0,1,0,29.69911764705882,0,0,264,27.7208,0,0,1,0,0,1
297,0,3,0,23.5,0,0,265,7.2292,0,0,1,0,0,0
298,0,1,1,2.0,1,2,266,151.55,54,3,0,0,1,0
299,1,1,0,29.69911764705882,0,0,267,30.5,55,0,0,0,1,1
300,1,1,1,50.0,0,1,114,247.5208,22,1,1,0,0,0
301,1,3,1,29.69911764705882,0,0,268,7.75,0,0,0,1,0,1
302,1,3,0,29.69911764705882,2,0,269,23.25,0,2,0,1,0,1
303,0,3,0,19.0,0,0,163,0.0,0,0,0,0,1,0
304,1,2,1,29.69911764705882,0,0,270,12.35,23,0,0,1,0,1
305,0,3,0,29.69911764705882,0,0,271,8.05,0,0,0,0,1,1
306,1,1,0,0.92,1,2,266,151.55,54,3,0,0,1,0
307,1,1,1,29.69911764705882,0,0,272,110.8833,0,0,1,0,0,1
308,1,1,1,17.0,1,0,273,108.9,56,1,1,0,0,0
309,0,2,0,30.0,1,0,274,24.0,0,1,1,0,0,0
310,1,1,1,30.0,0,0,275,56.9292,57,0,1,0,0,0
311,1,1,1,24.0,0,0,276,83.1583,58,0,1,0,0,0
312,1,1,1,18.0,2,2,277,262.375,59,4,1,0,0,0
313,0,2,1,26.0,1,1,278,26.0,0,2,0,0,1,0
314,0,3,0,28.0,0,0,279,7.8958,0,0,0,0,1,0
315,0,2,0,43.0,1,1,280,26.25,0,2,0,0,1,0
316,1,3,1,26.0,0,0,281,7.8542,0,0,0,0,1,0
317,1,2,1,24.0,1,0,96,26.0,0,1,0,0,1,0
318,0,2,0,54.0,0,0,282,14.0,0,0,0,0,1,0
319,1,1,1,31.0,0,2,283,164.8667,60,2,0,0,1,0
320,1,1,1,40.0,1,1,284,134.5,61,2,1,0,0,0
321,0,3,0,22.0,0,0,285,7.25,0,0,0,0,1,0
322,0,3,0,27.0,0,0,286,7.8958,0,0,0,0,1,0
323,1,2,1,30.0,0,0,287,12.35,0,0,0,1,0,0
324,1,2,1,22.0,1,1,76,29.0,0,2,0,0,1,0
325,0,3,0,29.69911764705882,8,2,148,69.55,0,10,0,0,1,1
326,1,1,1,36.0,0,0,240,135.6333,62,0,1,0,0,0
327,0,3,0,61.0,0,0,288,6.2375,0,0,0,0,1,0
328,1,2,1,36.0,0,0,289,13.0,53,0,0,0,1,0
329,1,3,1,31.0,1,1,153,20.525,0,2,0,0,1,0
330,1,1,1,16.0,0,1,290,57.9792,63,1,1,0,0,0
331,1,3,1,29.69911764705882,2,0,269,23.25,0,2,0,1,0,1
332,0,1,0,45.5,0,0,291,28.5,64,0,0,0,1,0
333,0,1,0,38.0,0,1,239,153.4625,65,1,0,0,1,0
334,0,3,0,16.0,2,0,37,18.0,0,2,0,0,1,0
335,1,1,1,29.69911764705882,1,0,292,133.65,0,1,0,0,1,1
336,0,3,0,29.69911764705882,0,0,293,7.8958,0,0,0,0,1,1
337,0,1,0,29.0,1,0,140,66.6,28,1,0,0,1,0
338,1,1,1,41.0,0,0,284,134.5,66,0,1,0,0,0
339,1,3,0,45.0,0,0,294,8.05,0,0,0,0,1,0
340,0,1,0,45.0,0,0,295,35.5,67,0,0,0,1,0
341,1,2,0,2.0,1,1,137,26.0,27,2,0,0,1,0
342,1,1,1,24.0,3,2,26,263.0,8,5,0,0,1,0
343,0,2,0,28.0,0,0,296,13.0,0,0,0,0,1,0
344,0,2,0,25.0,0,0,297,13.0,0,0,0,0,1,0
345,0,2,0,36.0,0,0,298,13.0,0,0,0,0,1,0
346,1,2,1,24.0,0,0,299,13.0,15,0,0,0,1,0
347,1,2,1,40.0,0,0,300,13.0,0,0,0,0,1,0
348,1,3,1,29.69911764705882,1,0,301,16.1,0,1,0,0,1,1
349,1,3,0,3.0,1,1,302,15.9,0,2,0,0,1,0
350,0,3,0,42.0,0,0,303,8.6625,0,0,0,0,1,0
351,0,3,0,23.0,0,0,304,9.225,0,0,0,0,1,0
352,0,1,0,29.69911764705882,0,0,305,35.0,68,0,0,0,1,1
353,0,3,0,15.0,1,1,306,7.2292,0,2,1,0,0,0
354,0,3,0,25.0,1,0,48,17.8,0,1,0,0,1,0
355,0,3,0,29.69911764705882,0,0,307,7.225,0,0,1,0,0,1
356,0,3,0,28.0,0,0,308,9.5,0,0,0,0,1,0
357,1,1,1,22.0,0,1,154,55.0,29,1,0,0,1,0
358,0,2,1,38.0,0,0,309,13.0,0,0,0,0,1,0
359,1,3,1,29.69911764705882,0,0,310,7.8792,0,0,0,1,0,1
360,1,3,1,29.69911764705882,0,0,311,7.8792,0,0,0,1,0,1
361,0,3,0,40.0,1,4,62,27.9,0,5,0,0,1,0
362,0,2,0,29.0,1,0,312,27.7208,0,1,1,0,0,0
363,0,3,1,45.0,0,1,313,14.4542,0,1,1,0,0,0
364,0,3,0,35.0,0,0,314,7.05,0,0,0,0,1,0
365,0,3,0,29.69911764705882,1,0,168,15.5,0,1,0,1,0,1
366,0,3,0,30.0,0,0,315,7.25,0,0,0,0,1,0
367,1,1,1,60.0,1,0,316,75.25,69,1,1,0,0,0
368,1,3,1,29.69911764705882,0,0,317,7.2292,0,0,1,0,0,1
369,1,3,1,29.69911764705882,0,0,318,7.75,0,0,0,1,0,1
370,1,1,1,24.0,0,0,319,69.3,70,0,1,0,0,0
371,1,1,0,25.0,1,0,320,55.4417,71,1,1,0,0,0
372,0,3,0,18.0,1,0,321,6.4958,0,1,0,0,1,0
373,0,3,0,19.0,0,0,322,8.05,0,0,0,0,1,0
374,0,1,0,22.0,0,0,240,135.6333,0,0,1,0,0,0
375,0,3,1,3.0,3,1,7,21.075,0,4,0,0,1,0
376,1,1,1,29.69911764705882,1,0,33,82.1708,0,1,1,0,0,1
377,1,3,1,22.0,0,0,323,7.25,0,0,0,0,1,0
378,0,1,0,27.0,0,2,324,211.5,72,2,1,0,0,0
379,0,3,0,20.0,0,0,325,4.0125,0,0,1,0,0,0
380,0,3,0,19.0,0,0,326,7.775,0,0,0,0,1,0
381,1,1,1,42.0,0,0,327,227.525,0,0,1,0,0,0
382,1,3,1,1.0,0,2,328,15.7417,0,2,1,0,0,0
383,0,3,0,32.0,0,0,329,7.925,0,0,0,0,1,0
384,1,1,1,35.0,1,0,34,52.0,0,1,0,0,1,0
385,0,3,0,29.69911764705882,0,0,330,7.8958,0,0,0,0,1,1
386,0,2,0,18.0,0,0,70,73.5,0,0,0,0,1,0
387,0,3,0,1.0,5,2,58,46.9,0,7,0,0,1,0
388,1,2,1,36.0,0,0,331,13.0,0,0,0,0,1,0
389,0,3,0,29.69911764705882,0,0,332,7.7292,0,0,0,1,0,1
390,1,2,1,17.0,0,0,333,12.0,0,0,1,0,0,0
391,1,1,0,36.0,1,2,334,120.0,73,3,0,0,1,0
392,1,3,0,21.0,0,0,335,7.7958,0,0,0,0,1,0
393,0,3,0,28.0,2,0,336,7.925,0,2,0,0,1,0
394,1,1,1,23.0,1,0,193,113.275,38,1,1,0,0,0
395,1,3,1,24.0,0,2,10,16.7,4,2,0,0,1,0
